site,country,pft,lat,lon,mat,map,elev
BE-Lon,Belgium,CRO,50.5516,4.7461,10,800,167
CH-Oe2,Switzerland,CRO,47.2863,7.7343,9,1100,452
DE-Geb,Germany,CRO,51.1001,10.9143,8.5,470,161.5
DE-Kli,Germany,CRO,50.8929,13.5225,9,750,478
DE-RuS,Germany,CRO,50.86582,6.44722,10,700,102.866
DE-Seh,Germany,CRO,50.8706,6.4497,9.9,693,103
DK-Fou,Denmark,CRO,56.4842,9.5872,8,52,51
FI-Jok,Finland,CRO,60.8986,23.5135,4.6,627,109
FR-Gri,France,CRO,48.8442,1.9519,12,650,125
IT-BCi,Italy,CRO,40.5238,14.9574,18,600,20
IT-CA2,Italy,CRO,42.3772,12.026,14,766,200
US-ARM,USA,CRO,36.6058,-97.4888,14.76,843,314
US-CRT,USA,CRO,41.6285,-83.3471,10.1,849,180
US-Lin,USA,CRO,36.3566,-119.8423,60,60,131
US-Ne1,USA,CRO,41.1651,-96.4766,10.07,790,361
US-Ne2,USA,CRO,41.1649,-96.4701,10.08,789,362
US-Ne3,USA,CRO,41.1797,-96.4397,10.11,784,363
US-Tw2,USA,CRO,38.1047,-121.6433,15.5,421,-5
US-Tw3,USA,CRO,38.1159,-121.6467,15.6,421,-9
US-Twt,USA,CRO,38.107633,-121.6527,15.6,421,-2
IT-Noe,Italy,CSH,40.6061,8.1515,15.9,588,28
RU-Vrk,Russia,CSH,67.0547,62.9405,-5.6,501,100
US-KS2,USA,CSH,28.6086,-80.6715,21.66,1294,3
AU-Lox,Australia,DBF,-34.4704,140.6551,57,57,57
CA-Oas,Canada,DBF,53.6289,-106.1978,0.34,429,530
CA-TPD,Canada,DBF,42.6353,-80.5577,8,1036,260
DE-Hai,Germany,DBF,51.0792,10.453,8.3,720,430
DE-Lnf,Germany,DBF,51.3282,10.3678,457,457,451
DK-Sor,Denmark,DBF,55.4859,11.6446,8.2,660,40
FR-Fon,France,DBF,48.4764,2.7801,10.2,720,103
IT-CA1,Italy,DBF,42.3804,12.0266,14,766,200
IT-CA3,Italy,DBF,42.38,12.0222,14,766,197
IT-Col,Italy,DBF,41.8494,13.5881,6.3,1180,1560
IT-Isp,Italy,DBF,45.8126,8.6336,12.2,1300,210
IT-PT1,Italy,DBF,45.2009,9.061,12.7,984,60
IT-Ro1,Italy,DBF,42.4081,11.93,15.15,876,235
IT-Ro2,Italy,DBF,42.3903,11.9209,15.15,876,160
JP-MBF,Japan,DBF,44.3869,142.3186,533,533,533
PA-SPn,Panama,DBF,9.3181,-79.6346,26.5,2350,78
US-Ha1,USA,DBF,42.5378,-72.1715,6.62,1071,340
US-MMS,USA,DBF,39.3232,-86.4131,10.85,1032,275
US-Oho,USA,DBF,41.5545,-83.8438,10.1,849,230
US-UMB,USA,DBF,45.5598,-84.7138,5.83,803,234
US-UMd,USA,DBF,45.5625,-84.6975,5.83,803,239
US-WCr,USA,DBF,45.8059,-90.0799,4.02,787,520
US-Wi1,USA,DBF,46.7305,-91.2329,320,320,352
US-Wi3,USA,DBF,46.6347,-91.0987,363,363,411
US-Wi8,USA,DBF,46.7223,-91.2524,396,396,348
ZM-Mon,Zambia,DBF,-15.4378,23.2528,25,945,1053
RU-SkP,Russia,DNF,62.255,129.168,211,211,246
AU-Cum,Australia,EBF,-33.6133,150.7225,124,124,124
AU-Rob,Australia,EBF,-17.1175,145.6301,667,667,667
AU-Tum,Australia,EBF,-35.6566,148.1517,914,914,914
AU-Wac,Australia,EBF,-37.4259,145.1878,562,562,562
AU-Whr,Australia,EBF,-36.6732,145.0294,152,152,152
AU-Wom,Australia,EBF,-37.4222,144.0944,608,608,705
BR-Sa1,Brazil,EBF,-2.8567,-54.9589,26.13,2075,88
BR-Sa3,Brazil,EBF,-3.018,-54.9714,26.12,2044,100
CN-Din,China,EBF,23.1733,112.5361,321,321,321
FR-Pue,France,EBF,43.7414,3.5958,13.5,883,270
GF-Guy,French Guyana,EBF,5.2788,-52.9249,25.7,3041,48
GH-Ank,Ghana,EBF,5.2685,-2.6942,26,1900,124
IT-Cp2,Italy,EBF,41.7043,12.3573,15.2,805,19
IT-Cpz,Italy,EBF,41.7052,12.3761,15.6,780,68
MY-PSO,Malaysia,EBF,2.973,102.3062,122,122,122
AR-Vir,Argentina,ENF,-28.2395,-56.1886,78,78,78
AU-ASM,Australia,ENF,-22.283,133.249,592,592,592
CA-Man,Canada,ENF,55.8796,-98.4808,-3.2,520,259
CA-NS1,Canada,ENF,55.8792,-98.4839,-2.89,500,260
CA-NS2,Canada,ENF,55.9058,-98.5247,-2.88,500,260
CA-NS3,Canada,ENF,55.9117,-98.3822,-2.87,502,260
CA-NS4,Canada,ENF,55.9117,-98.3822,-2.87,502,260
CA-NS5,Canada,ENF,55.8631,-98.485,-2.86,500,260
CA-Obs,Canada,ENF,53.9872,-105.1178,0.79,406,628.94
CA-Qfo,Canada,ENF,49.6925,-74.3421,-0.36,962,382
CA-SF1,Canada,ENF,54.485,-105.8176,0.4,470,536
CA-SF2,Canada,ENF,54.2539,-105.8775,0.4,470,520
CA-TP1,Canada,ENF,42.6609,-80.5595,8,1036,265
CA-TP2,Canada,ENF,42.7744,-80.4588,8,1036,212
CA-TP3,Canada,ENF,42.7068,-80.3483,8,1036,184
CA-TP4,Canada,ENF,42.7102,-80.3574,8,1036,184
CH-Dav,Switzerland,ENF,46.8153,9.8559,2.8,1062,1639
CN-Qia,China,ENF,26.7414,115.0581,84,84,84
CZ-BK1,Czech Republic,ENF,49.5021,18.5369,6.7,1316,875
DE-Lkb,Germany,ENF,49.0996,13.3047,4,1599,1308
DE-Obe,Germany,ENF,50.7836,13.7196,5.5,996,735
DE-Tha,Germany,ENF,50.9636,13.5669,7.7,820,380
FI-Hyy,Finland,ENF,61.8475,24.295,3.8,709,181
FI-Let,Finland,ENF,60.6418,23.9597,107,107,119
FI-Sod,Finland,ENF,67.3619,26.6378,-1,500,180
FR-LBr,France,ENF,44.7171,-0.7693,13.6,900,61
IT-La2,Italy,ENF,45.9542,11.2853,7.2,1150,1350
IT-Lav,Italy,ENF,45.9562,11.2813,7.8,1291,1353
IT-Ren,Italy,ENF,46.5869,11.4337,4.7,809,1730
IT-SR2,Italy,ENF,43.732,10.291,14.2,920,12
IT-SRo,Italy,ENF,43.7279,10.2844,14.2,920,6
NL-Loo,Netherlands,ENF,52.1666,5.7436,9.8,786,25
RU-Fyo,Russia,ENF,56.4615,32.9221,3.9,711,265
US-Blo,USA,ENF,38.8953,-120.6328,11.09,1226,1315
US-GBT,USA,ENF,41.3658,-106.2397,0.8,1200,3191
